"Title","Duration","Year","Rating","Votes"
"Shutter Island",138,"2010",8.2,1400000
"Ran",160,"1985",8.2,133000
"Pan's Labyrinth",118,"2006",8.2,693000
"Jurassic Park",127,"1993",8.2,1e+06
"The Sixth Sense",107,"1999",8.2,1e+06
"Unforgiven",130,"1992",8.2,429000
"A Beautiful Mind",135,"2001",8.2,970000
"No Country for Old Men",122,"2007",8.2,1e+06
"The Treasure of the Sierra Madre",126,"1948",8.2,131000
"Yojimbo",110,"1961",8.2,129000
"Kill Bill: Vol. 1",111,"2003",8.2,1200000
"The Thing",109,"1982",8.2,455000
"Monty Python and the Holy Grail",91,"1975",8.2,562000
"The Great Escape",172,"1963",8.2,255000
"Finding Nemo",100,"2003",8.2,1100000
"Rashomon",88,"1950",8.2,177000
"The Elephant Man",124,"1980",8.2,254000
"Chinatown",130,"1974",8.2,343000
"Howl's Moving Castle",119,"2004",8.2,431000
"Dial M for Murder",105,"1954",8.2,185000
"Gone with the Wind",238,"1939",8.2,329000
"V for Vendetta",132,"2005",8.2,1200000
"Prisoners",153,"2013",8.1,782000
"Raging Bull",129,"1980",8.1,373000
"Lock, Stock and Two Smoking Barrels",107,"1998",8.1,607000
"The Secret in Their Eyes",129,"2009",8.2,219000
"Inside Out",95,"2015",8.1,764000
"Spider-Man: No Way Home",148,"2021",8.2,846000
"Three Billboards Outside Ebbing, Missouri",115,"2017",8.1,541000
"Trainspotting",93,"1996",8.1,714000
"The Bridge on the River Kwai",161,"1957",8.1,230000
"Fargo",98,"1996",8.1,709000
"Warrior",140,"2011",8.1,491000
"Catch Me If You Can",141,"2002",8.1,1100000
"Gran Torino",116,"2008",8.1,803000
"Klaus",96,"2019",8.2,175000
"My Neighbor Totoro",86,"1988",8.1,366000
"Million Dollar Baby",132,"2004",8.1,712000
"Harry Potter and the Deathly Hallows: Part 2",130,"2011",8.1,926000
"Children of Heaven",89,"1997",8.2,79000
"Blade Runner",117,"1982",8.1,807000
"12 Years a Slave",134,"2013",8.1,730000
