"Title","Genre","Director","Writer","Actors","View Rating"
"Veteran","Action","Seung-wan Ryoo","Seung-wan Ryoo","Hwang Jung-min","NotRated"
"1000 Rupee Note","Drama","Shrihari Sathe","Shrikant Bojewar","Sandeep Pathak","NotRated"
"Court","Drama","Chaitanya Tamhane","Chaitanya Tamhane","Geetanjali Kulkarni",NA
"How to Be Single","Comedy","Christian Ditter","Liz Tuccillo","Rebel Wilson","R"
"Wynonna Earp","Action",NA,NA,"Melanie Scrofano","TV-14"
"Rainbow Time","Comedy","Linas Phillips","Linas Phillips","Melanie Lynskey","NotRated"
"Richard Pryor: Live in Concert","Documentary","Jeff Margolis","Richard Pryor","Richard Pryor","NotRated"
"Bromance","Drama",NA,NA,"Megan Lai",NA
"David Blaine: Street Magic","Documentary","David Blaine",NA,"Edward O'Blenis",NA
"The Violin Player","Drama","Bauddhayan Mukherji","Bauddhayan Mukherji","Ritwick Chakraborty",NA
"SCHOOL-LIVE!","Animation",NA,NA,"Inori Minase","TV-14"
"Charlotte","Animation",NA,NA,"Koki Uchiyama","TV-PG"
"Berserk","Animation",NA,NA,"Hiroaki Iwanaga","TV-MA"
"The Heroic Legend of Arslan","Animation",NA,NA,"Jerry Jewell","TV-14"
"The Umbrellas of Cherbourg","Drama","Jacques Demy","Jacques Demy","Nino Castelnuovo","NotRated"
"Please like Me","Comedy",NA,NA,"Josh Thomas","TV-MA"
"Gilmore Girls: A Year in the Life","Comedy",NA,NA,"Kelly Bishop","TV-14"
"Michael Che Matters","Comedy","Oz Rodriguez","Michael Che","Jeremy Gaddie","TV-MA"
"Pasolini","Biography","Abel Ferrara","Maurizio Braucci","Willem Dafoe",NA
"Beauties of the Night","Documentary","Maria Jose Cuevas","Maria Jose Cuevas","Rossy Mendoza",NA
"Maggies Plan","Comedy","Rebecca Miller","Karen Rinaldi","Monte Greene","R"
"Gandu","Drama","Qaushiq Mukherjee","Qaushiq Mukherjee","Anubrata Basu","Unrated"
"Criminal","Action","Ariel Vromen","David Weisberg","Gary Oldman","R"
"Hell or High Water","Action","David Mackenzie","Taylor Sheridan","Chris Pine","R"
"Colin Quinn: The New York Story","Comedy","Jerry Seinfeld","Colin Quinn","Colin Quinn","TV-MA"
"Los 33","Biography","Patricia Riggen","Hector Tobar","Rodrigo Santoro","PG-13"
"In the Heart of the Sea","Action","Ron Howard","Amanda Silver","Benjamin Walker","PG-13"
"Gods Not Dead 2","Drama","Harold Cronk","Cary Solomon","Brad Heller","PG"
"Once in a Summer","Drama","Geun-shik Jo","Suk-yeon Lee","Duk-moon Choi",NA
"Paranoid","Short","Joseph Ullman","Paul Longmate","Arthur Harlow",NA
"My Girl 2","Comedy","Howard Zieff","Janet Kovalcik","Jamie Lee Curtis","PG"
"Skiptrace","Action","Renny Harlin","Wen-Chia Chang","Jackie Chan","PG-13"
"I Spy","Action","Betty Thomas","Morton S. Fine","Owen Wilson","PG-13"
"Empire of the Tsars","Documentary",NA,NA,"Simon Dixon","NotRated"
"The Funhouse Massacre","Comedy","Andy Palmer","Ben Begley","Scottie Thompson","R"
"Sorrow and Joy","Drama","Nils Malmros","Nils Malmros","Helle Fagralid",NA
"True Memoirs of an International Assassin","Action","Jeff Wadlow","Jeff Wadlow","Kim Coates","TV-14"
"Harmony","Drama","Dae-gyu Kang","JK Youn","Joon-myeon Park","NotRated"
"Sunny","Comedy","Hyeong-Cheol Kang","Byeong-heon Lee","Hee-kyung Jin","PG-13"
"A Heavy Heart","Drama","Thomas Stuber","Paul Salisbury","Peter Kurth",NA
"Tales by Light","Documentary",NA,NA,"Eric Cheng",NA
"The Whole Nine Yards","Comedy","Jonathan Lynn","Mitchell Kapner","Bruce Willis","R"
"Battlefield Earth","Action","Roger Christian","J.D. Shapiro","John Travolta","PG-13"
"Sing Street","Comedy","John Carney","John Carney","Ferdia Walsh-Peelo","PG-13"
"Wild Things","Crime","John McNaughton","Stephen Peters","Matt Dillon","R"
"The Ivory Game","Documentary","Richard Ladkani",NA,"Prince William",NA
"The Crown","Biography",NA,"Peter Morgan","Imelda Staunton","TV-MA"
"World of Winx","Animation",NA,"Iginio Straffi","Haven Paschall","TV-Y7"
"Confessions","Drama","Tetsuya Nakashima","Tetsuya Nakashima","Yoshino Kimura","NotRated"
"Happily Ever After","Comedy","Yukihiko Tsutsumi","Yukihiko Tsutsumi","Hiroshi Abe",NA
"The Other Side of the Door","Horror","Johannes Roberts","Ernest Riera","Logan Creran","R"
"Eddie the Eagle","Biography","Dexter Fletcher","Simon Kelton","Dickon Tolson","PG-13"
"The Nice Guys","Action","Shane Black","Anthony Bagarozzi","Ryan Gosling","R"
"200 Pounds Beauty","Comedy","Yong-hwa Kim","Hye-yeong No","Dong-il Sung","NotRated"
"The People v. O.J. Simpson","Biography",NA,"Larry Karaszewski","Kenneth Choi","TV-MA"
"Adaptation.","Comedy","Spike Jonze","Charlie Kaufman","Nicolas Cage","R"
"Imperium","Biography","Daniel Ragussis","Joe Turner Lin","Tracy Letts","R"
"Norman Lear: Just Another Version of You","Documentary","Heidi Ewing",NA,"Bea Arthur","Unrated"
"Bokurano","Animation",NA,NA,"Hiroki Touchi",NA
"Grimgar of Fantasy and Ash","Animation",NA,NA,"Orion Pitts","TV-14"
"David Blaine: Real or Magic?","Documentary","Matthew Akers","Matthew Akers","Hadji Ali","TV-14"
"Love Around","Romance",NA,NA,"Annie Chen","TV-Y"
"A Grand Night In: The Story of Aardman","Documentary","Richard Mears",NA,"David Tennant","TV-PG"
"Love You","Comedy",NA,NA,"Chih-Chieh Ti",NA
"Just You","Romance",NA,NA,"Aaron Yan",NA
"Flight 7500","Drama","Takashi Shimizu","Craig Rosenberg","Leslie Bibb","PG-13"
"20/30/40","Comedy","Sylvia Chang","Rene Liu","Sylvia Chang",NA
"Dot 2 Dot","Drama","Amos Why","Amos Why","Tze-Chung Lam",NA
"Chewing Gum","Comedy",NA,NA,"Danielle Walters","TV-MA"
"The NeverEnding Story","Adventure","Wolfgang Petersen","Robert Easton","Chris Eastman","PG"
"The Mermaid","Comedy","Stephen Chow","Si-Cheun Lee","Show Lo","R"
"Into the Inferno","Documentary","Werner Herzog","Werner Herzog","Clive Oppenheimer",NA
"Skylanders Academy","Animation",NA,"Eric Rogers","Jonathan Banks","TV-Y7"
"Trailer Park Boys: Out of the Park: Europe","Adventure",NA,NA,"Robb Wells","TV-MA"
"I Am the Pretty Thing That Lives in the House","Drama","Oz Perkins","Oz Perkins","Lucy Boynton",NA
"Heavenly Forest","Drama","Takehiko Shinjo","Takuji Ichikawa","Munetaka Aoki",NA
"Penn and Teller","Comedy",NA,"Peter Adam Golden","Alyson Hannigan","TV-PG"
"So Close","Action","Corey Yuen","Jeffrey Lau","Qi Shu","R"
"War Room","Drama","Alex Kendrick","Alex Kendrick","T.C. Stallings","PG"
"I Am Wrath","Action","Chuck Russell","Yvan Gauthier","John Travolta","R"
"The Way We Dance","Drama","Adam Wong","Tai-lee Chan","Lok Man Yeung",NA
"Race","Biography","Stephen Hopkins","Anna Waterhouse","Stephan James","PG-13"
"El Vato","Comedy",NA,"Jorge Dorantes","El Dasa",NA
"The Man Who Knew Infinity","Biography","Matt Brown","Robert Kanigel","Dev Patel","PG-13"
"Containment","Drama",NA,"Julie Plec","Christina Moses","TV-14"
"Joe Rogan: Triggered","Comedy","Anthony Giordano","Joe Rogan","Joe Rogan",NA
"Moss","Crime","Woo-Suk Kang","Tae-Ho Yoon","Seon Yu","NotRated"
"DROP","Action","Hiroshi Shinagawa","Hiroshi Shinagawa","Hiroki Narimiya","TV-MA"
"Connected","Action","Benny Chan","Larry Cohen","Louis Koo","NotRated"
"The Unjust","Action","Seung-wan Ryoo","Park Hoon-jung","Ho-jin Chun","NotRated"
"Miles Ahead","Biography","Don Cheadle","Don Cheadle","LaKeith Stanfield","R"
"Against All Odds","Action","Taylor Hackford","Eric Hughes","James Woods","R"
"Harud","Drama","Aamir Bashir","Aamir Bashir","Shahnawaz Bhat","NotRated"
"Daeho","Action","Park Hoon-jung","Park Hoon-jung","Jung Ji-so","NotRated"
"Raman Raghav 2.0","Crime","Anurag Kashyap","Anurag Kashyap","Mukesh Chhabra","NotRated"
"The Art of War","Action","Christian Duguay","Wayne Beach","Wesley Snipes","R"
"Robin-B-Hood","Action","Benny Chan","Jackie Chan","Jackie Chan","NotRated"
"Black Swan","Drama","Darren Aronofsky","John J. McLaughlin","Barbara Hershey","R"
"Riding Alone for Thousands of Miles","Drama","Yimou Zhang","Jingzhi Zou","Shinobu Terajima","PG"
"The Road Home","Drama","Yimou Zhang","Shi Bao","Yulian Zhao","G"
"Animal Kingdom","Crime",NA,"Jonathan Lisco","Shawn Hatosy","TV-MA"
"Drunken Master","Action","Woo-Ping Yuen","See-Yuen Ng","Jackie Chan","PG-13"
"Warriors of Heaven and Earth","Action","Ping He","Richard Epcar","Wen Jiang","R"
"Memories of Murder","Crime","Bong Joon Ho","Sung-bo Shim","Roe-ha Kim","NotRated"
"Time and Tide","Action","Hark Tsui","Koan Hui","Cathy Tsui","R"
"Roving Edge","Action","Jeong-ho Lee","Keigo Higashino","Sung-min Lee","NotRated"
"U Turn","Crime","Pawan Kumar","Pawan Kumar","Dileep Raj","NotRated"
"Glitch","Drama",NA,"Tony Ayres","Hannah Monson","TV-MA"
"Mountain Patrol: Kekexili","Action","Chuan Lu","Chuan Lu","Xueying Zhao","PG-13"
"Cut Bank","Crime","Matt Shakman","Roberto Patino","Michael Stuhlbarg","R"
"Sky Ladder: The Art of Cai Guo-Qiang","Documentary","Kevin Macdonald",NA,"Ian Buruma",NA
"MeatEater","Documentary",NA,NA,"Steven Rinella",NA
"Mascots","Comedy","Christopher Guest","Jim Piddock","Zach Woods","TV-MA"
"Furious 7","Action","James Wan","Gary Scott Thompson","Paul Walker","PG-13"
"Justin Timberlake + the Tennessee Kids","Documentary","Jonathan Demme",NA,"Justin Timberlake",NA
"Mossad 101","Drama",NA,"Uri Levron","Shai Avivi",NA
"Ouija","Horror","Stiles White","Stiles White","Olivia Cooke","PG-13"
"What We Become","Horror","Bo Mikkelsen","Bo Mikkelsen","Ella Solgaard","NotRated"
"I, Robot","Action","Alex Proyas","Jeff Vintar","James Cromwell","PG-13"
"David Blaine: What Is Magic?","Documentary","David Blaine","James Spector","Bill Kalush","NotRated"
"Eye See You","Crime","Jim Gillespie","Howard Swindle","Sylvester Stallone","R"
"The Green Mile","Crime","Frank Darabont","Frank Darabont","Bonnie Hunt","R"
"Russell Peters: Almost Famous","Comedy","David Higby","Russell Peters","Russell Peters",NA
"13TH","Documentary","Ava DuVernay","Ava DuVernay","Melina Abdullah","TV-MA"
"Twister","Action","Jan de Bont","Anne-Marie Martin","Bill Paxton","PG-13"
"Sudden Death","Action","Peter Hyams","Gene Quintano","Raymond J. Barry","R"
"Flipper","Adventure","Alan Shapiro","Jack Cowden","Jonathan Banks","PG"
"Duplicity","Comedy","Tony Gilroy","Tony Gilroy","Paul Giamatti","PG-13"
"The Siege of Jadotville","Action","Richie Smyth","Kevin Brodbin","Mark Strong","TV-MA"
"American Reunion","Comedy","Jon Hurwitz","Jon Hurwitz","Chris Klein","R"
"Secret","Thriller","Je-gu Yun","Je-gu Yun","Seung-ryong Ryu",NA
"Frequency","Drama",NA,"Jeremy Carver","Mekhi Phifer","TV-MA"
"Look Whos Talking Now","Comedy","Tom Ropelewski","Leslie Dixon","John Travolta","PG-13"
"Vulgaria","Comedy","Ho-Cheung Pang","Ho-Cheung Pang","Suet Lam","NotRated"
"Demonic","Horror","Will Canon","Doug Simon","Cody Horn","R"
"Honeytrap","Crime","Rebecca Johnson","Rebecca Johnson","Ntonga Mwanza",NA
"Deadpool","Action","Tim Miller","Paul Wernick","Ed Skrein","R"
"Mercury Rising","Action","Harold Becker","Mark Rosenthal","Bruce Willis","R"
"Carlitos Way","Crime","Brian De Palma","David Koepp","Penelope Ann Miller","R"
"Being John Malkovich","Comedy","Spike Jonze","Charlie Kaufman","Ned Bellamy","R"
"The Wolfman","Drama","Joe Johnston","Andrew Kevin Walker","Emily Blunt","R"
"Dragonheart","Action","Rob Cohen","Patrick Read Johnson","Dina Meyer","PG-13"
"Pijnstillers","Drama","Tessa Schram","Carry Slee","Birgit Schuurman",NA
"Miami Vice","Action","Michael Mann","Anthony Yerkovich","Naomie Harris","R"
"The Boy Next Door","Thriller","Rob Cohen","Barbara Curry","Ryan Guzman","R"
"Friday the 13th: Part 2","Horror","Steve Miner","Ron Kurz","Adrienne King","R"
"The Towering Inferno","Action","John Guillermin","Richard Martin Stern","Steve McQueen","PG"
"Syriana","Drama","Stephen Gaghan","Robert Baer","Amr Waked","R"
"A Star Is Born","Drama","Frank Pierson","Joan Didion","Gary Busey","R"
"Doctor Zhivago","Drama","David Lean","Robert Bolt","Rod Steiger","PG-13"
